"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Alabama"	"01"	"2000"	"2000"	"35-39 years"	"35-39"	4566
	"Alabama"	"01"	"2000"	"2000"	"40-44 years"	"40-44"	781
	"Alabama"	"01"	"2000"	"2000"	"45-49 years"	"45-49"	23
	"Alabama"	"01"	"2001"	"2001"	"Under 15 years"	"15"	185
	"Alabama"	"01"	"2001"	"2001"	"15-19 years"	"15-19"	8820
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	19265
	"Alabama"	"01"	"2001"	"2001"	"25-29 years"	"25-29"	16039
	"Alabama"	"01"	"2001"	"2001"	"30-34 years"	"30-34"	10807
	"Alabama"	"01"	"2001"	"2001"	"35-39 years"	"35-39"	4471
	"Alabama"	"01"	"2001"	"2001"	"40-44 years"	"40-44"	828
	"Alabama"	"01"	"2001"	"2001"	"45-49 years"	"45-49"	39
	"Alabama"	"01"	"2002"	"2002"	"Under 15 years"	"15"	170
	"Alabama"	"01"	"2002"	"2002"	"15-19 years"	"15-19"	8427
	"Alabama"	"01"	"2002"	"2002"	"20-24 years"	"20-24"	18654
	"Alabama"	"01"	"2002"	"2002"	"25-29 years"	"25-29"	15573
	"Alabama"	"01"	"2002"	"2002"	"30-34 years"	"30-34"	11091
	"Alabama"	"01"	"2002"	"2002"	"35-39 years"	"35-39"	4203
	"Alabama"	"01"	"2002"	"2002"	"40-44 years"	"40-44"	808
	"Alabama"	"01"	"2002"	"2002"	"45-49 years"	"45-49"	38
	"Alaska"	"02"	"1995"	"1995"	"Under 15 years"	"15"	15
	"Alaska"	"02"	"1995"	"1995"	"15-19 years"	"15-19"	1136
	"Alaska"	"02"	"1995"	"1995"	"20-24 years"	"20-24"	2770
	"Alaska"	"02"	"1995"	"1995"	"25-29 years"	"25-29"	2760
	"Alaska"	"02"	"1995"	"1995"	"30-34 years"	"30-34"	2254
	"Alaska"	"02"	"1995"	"1995"	"35-39 years"	"35-39"	1066
	"Alaska"	"02"	"1995"	"1995"	"40-44 years"	"40-44"	235
	"Alaska"	"02"	"1996"	"1996"	"Under 15 years"	"15"	16
	"Alaska"	"02"	"1996"	"1996"	"15-19 years"	"15-19"	1096
	"Alaska"	"02"	"1996"	"1996"	"20-24 years"	"20-24"	2664
	"Alaska"	"02"	"1996"	"1996"	"25-29 years"	"25-29"	2734
	"Alaska"	"02"	"1996"	"1996"	"30-34 years"	"30-34"	2192
	"Alaska"	"02"	"1996"	"1996"	"35-39 years"	"35-39"	1062
	"Alaska"	"02"	"1996"	"1996"	"40-44 years"	"40-44"	264
	"Alaska"	"02"	"1997"	"1997"	"Under 15 years"	"15"	19
	"Alaska"	"02"	"1997"	"1997"	"15-19 years"	"15-19"	1099
	"Alaska"	"02"	"1997"	"1997"	"20-24 years"	"20-24"	2651
	"Alaska"	"02"	"1997"	"1997"	"25-29 years"	"25-29"	2706
	"Alaska"	"02"	"1997"	"1997"	"30-34 years"	"30-34"	2133
	"Alaska"	"02"	"1997"	"1997"	"35-39 years"	"35-39"	1107
	"Alaska"	"02"	"1997"	"1997"	"40-44 years"	"40-44"	222
	"Alaska"	"02"	"1997"	"1997"	"45-49 years"	"45-49"	10
	"Alaska"	"02"	"1998"	"1998"	"Under 15 years"	"15"	11
	"Alaska"	"02"	"1998"	"1998"	"15-19 years"	"15-19"	1101
	"Alaska"	"02"	"1998"	"1998"	"20-24 years"	"20-24"	2658
	"Alaska"	"02"	"1998"	"1998"	"25-29 years"	"25-29"	2746
	"Alaska"	"02"	"1998"	"1998"	"30-34 years"	"30-34"	2081
	"Alaska"	"02"	"1998"	"1998"	"35-39 years"	"35-39"	1055
	"Alaska"	"02"	"1998"	"1998"	"40-44 years"	"40-44"	259
	"Alaska"	"02"	"1998"	"1998"	"45-49 years"	"45-49"	15
	"Alaska"	"02"	"1999"	"1999"	"Under 15 years"	"15"	17
	"Alaska"	"02"	"1999"	"1999"	"15-19 years"	"15-19"	1123
	"Alaska"	"02"	"1999"	"1999"	"20-24 years"	"20-24"	2713
	"Alaska"	"02"	"1999"	"1999"	"25-29 years"	"25-29"	2764
	"Alaska"	"02"	"1999"	"1999"	"30-34 years"	"30-34"	1960
	"Alaska"	"02"	"1999"	"1999"	"35-39 years"	"35-39"	1096
	"Alaska"	"02"	"1999"	"1999"	"40-44 years"	"40-44"	257
	"Alaska"	"02"	"1999"	"1999"	"45-49 years"	"45-49"	17
	"Alaska"	"02"	"2000"	"2000"	"Under 15 years"	"15"	14
	"Alaska"	"02"	"2000"	"2000"	"15-19 years"	"15-19"	1162
	"Alaska"	"02"	"2000"	"2000"	"20-24 years"	"20-24"	2705
	"Alaska"	"02"	"2000"	"2000"	"25-29 years"	"25-29"	2712
	"Alaska"	"02"	"2000"	"2000"	"30-34 years"	"30-34"	2037
	"Alaska"	"02"	"2000"	"2000"	"35-39 years"	"35-39"	1059
	"Alaska"	"02"	"2000"	"2000"	"40-44 years"	"40-44"	276
	"Alaska"	"02"	"2001"	"2001"	"Under 15 years"	"15"	15
	"Alaska"	"02"	"2001"	"2001"	"15-19 years"	"15-19"	1056
	"Alaska"	"02"	"2001"	"2001"	"20-24 years"	"20-24"	2773
	"Alaska"	"02"	"2001"	"2001"	"25-29 years"	"25-29"	2657
	"Alaska"	"02"	"2001"	"2001"	"30-34 years"	"30-34"	2088
	"Alaska"	"02"	"2001"	"2001"	"35-39 years"	"35-39"	1131
	"Alaska"	"02"	"2001"	"2001"	"40-44 years"	"40-44"	269
	"Alaska"	"02"	"2001"	"2001"	"45-49 years"	"45-49"	12
	"Alaska"	"02"	"2002"	"2002"	"Under 15 years"	"15"	16
	"Alaska"	"02"	"2002"	"2002"	"15-19 years"	"15-19"	1068
	"Alaska"	"02"	"2002"	"2002"	"20-24 years"	"20-24"	2826
	"Alaska"	"02"	"2002"	"2002"	"25-29 years"	"25-29"	2615
	"Alaska"	"02"	"2002"	"2002"	"30-34 years"	"30-34"	2061
	"Alaska"	"02"	"2002"	"2002"	"35-39 years"	"35-39"	1049
	"Alaska"	"02"	"2002"	"2002"	"40-44 years"	"40-44"	293
	"Alaska"	"02"	"2002"	"2002"	"45-49 years"	"45-49"	10
	"Arizona"	"04"	"1995"	"1995"	"Under 15 years"	"15"	229
	"Arizona"	"04"	"1995"	"1995"	"15-19 years"	"15-19"	10745
	"Arizona"	"04"	"1995"	"1995"	"20-24 years"	"20-24"	20342
	"Arizona"	"04"	"1995"	"1995"	"25-29 years"	"25-29"	19165
	"Arizona"	"04"	"1995"	"1995"	"30-34 years"	"30-34"	14614
	"Arizona"	"04"	"1995"	"1995"	"35-39 years"	"35-39"	6226
	"Arizona"	"04"	"1995"	"1995"	"40-44 years"	"40-44"	1101
	"Arizona"	"04"	"1995"	"1995"	"45-49 years"	"45-49"	41
	"Arizona"	"04"	"1996"	"1996"	"Under 15 years"	"15"	217
	"Arizona"	"04"	"1996"	"1996"	"15-19 years"	"15-19"	11009
	"Arizona"	"04"	"1996"	"1996"	"20-24 years"	"20-24"	21074
	"Arizona"	"04"	"1996"	"1996"	"25-29 years"	"25-29"	20180
	"Arizona"	"04"	"1996"	"1996"	"30-34 years"	"30-34"	14948
	"Arizona"	"04"	"1996"	"1996"	"35-39 years"	"35-39"	6589
	"Arizona"	"04"	"1996"	"1996"	"40-44 years"	"40-44"	1249
	"Arizona"	"04"	"1996"	"1996"	"45-49 years"	"45-49"	56
	"Arizona"	"04"	"1997"	"1997"	"Under 15 years"	"15"	221
	"Arizona"	"04"	"1997"	"1997"	"15-19 years"	"15-19"	11035
	"Arizona"	"04"	"1997"	"1997"	"20-24 years"	"20-24"	20902
	"Arizona"	"04"	"1997"	"1997"	"25-29 years"	"25-29"	20500
	"Arizona"	"04"	"1997"	"1997"	"30-34 years"	"30-34"	14907
	"Arizona"	"04"	"1997"	"1997"	"35-39 years"	"35-39"	6788
	"Arizona"	"04"	"1997"	"1997"	"40-44 years"	"40-44"	1284
	"Arizona"	"04"	"1997"	"1997"	"45-49 years"	"45-49"	58
	"Arizona"	"04"	"1998"	"1998"	"Under 15 years"	"15"	236
	"Arizona"	"04"	"1998"	"1998"	"15-19 years"	"15-19"	11561
	"Arizona"	"04"	"1998"	"1998"	"20-24 years"	"20-24"	21631
	"Arizona"	"04"	"1998"	"1998"	"25-29 years"	"25-29"	21187
	"Arizona"	"04"	"1998"	"1998"	"30-34 years"	"30-34"	14935
	"Arizona"	"04"	"1998"	"1998"	"35-39 years"	"35-39"	7202
	"Arizona"	"04"	"1998"	"1998"	"40-44 years"	"40-44"	1429
	"Arizona"	"04"	"1998"	"1998"	"45-49 years"	"45-49"	58
	"Arizona"	"04"	"1999"	"1999"	"Under 15 years"	"15"	236
	"Arizona"	"04"	"1999"	"1999"	"15-19 years"	"15-19"	11789
	"Arizona"	"04"	"1999"	"1999"	"20-24 years"	"20-24"	22576
	"Arizona"	"04"	"1999"	"1999"	"25-29 years"	"25-29"	22037
	"Arizona"	"04"	"1999"	"1999"	"30-34 years"	"30-34"	15573
	"Arizona"	"04"	"1999"	"1999"	"35-39 years"	"35-39"	7400
	"Arizona"	"04"	"1999"	"1999"	"40-44 years"	"40-44"	1459
	"Arizona"	"04"	"1999"	"1999"	"45-49 years"	"45-49"	73
	"Arizona"	"04"	"2000"	"2000"	"Under 15 years"	"15"	218
	"Arizona"	"04"	"2000"	"2000"	"15-19 years"	"15-19"	12018
	"Arizona"	"04"	"2000"	"2000"	"20-24 years"	"20-24"	23976
	"Arizona"	"04"	"2000"	"2000"	"25-29 years"	"25-29"	23136
	"Arizona"	"04"	"2000"	"2000"	"30-34 years"	"30-34"	16411
	"Arizona"	"04"	"2000"	"2000"	"35-39 years"	"35-39"	7850
	"Arizona"	"04"	"2000"	"2000"	"40-44 years"	"40-44"	1574
	"Arizona"	"04"	"2000"	"2000"	"45-49 years"	"45-49"	86
	"Arizona"	"04"	"2001"	"2001"	"Under 15 years"	"15"	198
	"Arizona"	"04"	"2001"	"2001"	"15-19 years"	"15-19"	11653
	"Arizona"	"04"	"2001"	"2001"	"20-24 years"	"20-24"	24286
	"Arizona"	"04"	"2001"	"2001"	"25-29 years"	"25-29"	22939
	"Arizona"	"04"	"2001"	"2001"	"30-34 years"	"30-34"	16996
	"Arizona"	"04"	"2001"	"2001"	"35-39 years"	"35-39"	7774
	"Arizona"	"04"	"2001"	"2001"	"40-44 years"	"40-44"	1658
	"Arizona"	"04"	"2001"	"2001"	"45-49 years"	"45-49"	89
	"Arizona"	"04"	"2002"	"2002"	"Under 15 years"	"15"	209
	"Arizona"	"04"	"2002"	"2002"	"15-19 years"	"15-19"	11363
	"Arizona"	"04"	"2002"	"2002"	"20-24 years"	"20-24"	25229
	"Arizona"	"04"	"2002"	"2002"	"25-29 years"	"25-29"	23562
	"Arizona"	"04"	"2002"	"2002"	"30-34 years"	"30-34"	17801
	"Arizona"	"04"	"2002"	"2002"	"35-39 years"	"35-39"	7955
	"Arizona"	"04"	"2002"	"2002"	"40-44 years"	"40-44"	1633
	"Arizona"	"04"	"2002"	"2002"	"45-49 years"	"45-49"	85
	"Arkansas"	"05"	"1995"	"1995"	"Under 15 years"	"15"	191
	"Arkansas"	"05"	"1995"	"1995"	"15-19 years"	"15-19"	6710
	"Arkansas"	"05"	"1995"	"1995"	"20-24 years"	"20-24"	11656
	"Arkansas"	"05"	"1995"	"1995"	"25-29 years"	"25-29"	8760
	"Arkansas"	"05"	"1995"	"1995"	"30-34 years"	"30-34"	5498
	"Arkansas"	"05"	"1995"	"1995"	"35-39 years"	"35-39"	2033
	"Arkansas"	"05"	"1995"	"1995"	"40-44 years"	"40-44"	324
	"Arkansas"	"05"	"1996"	"1996"	"Under 15 years"	"15"	161
	"Arkansas"	"05"	"1996"	"1996"	"15-19 years"	"15-19"	7026
	"Arkansas"	"05"	"1996"	"1996"	"20-24 years"	"20-24"	11861
	"Arkansas"	"05"	"1996"	"1996"	"25-29 years"	"25-29"	9380
	"Arkansas"	"05"	"1996"	"1996"	"30-34 years"	"30-34"	5493
	"Arkansas"	"05"	"1996"	"1996"	"35-39 years"	"35-39"	2112
	"Arkansas"	"05"	"1996"	"1996"	"40-44 years"	"40-44"	324
	"Arkansas"	"05"	"1996"	"1996"	"45-49 years"	"45-49"	14
	"Arkansas"	"05"	"1997"	"1997"	"Under 15 years"	"15"	185
	"Arkansas"	"05"	"1997"	"1997"	"15-19 years"	"15-19"	6835
	"Arkansas"	"05"	"1997"	"1997"	"20-24 years"	"20-24"	11911
	"Arkansas"	"05"	"1997"	"1997"	"25-29 years"	"25-29"	9545
	"Arkansas"	"05"	"1997"	"1997"	"30-34 years"	"30-34"	5501
	"Arkansas"	"05"	"1997"	"1997"	"35-39 years"	"35-39"	2094
	"Arkansas"	"05"	"1997"	"1997"	"40-44 years"	"40-44"	389
	"Arkansas"	"05"	"1997"	"1997"	"45-49 years"	"45-49"	18
	"Arkansas"	"05"	"1998"	"1998"	"Under 15 years"	"15"	152
	"Arkansas"	"05"	"1998"	"1998"	"15-19 years"	"15-19"	6691
	"Arkansas"	"05"	"1998"	"1998"	"20-24 years"	"20-24"	12271
	"Arkansas"	"05"	"1998"	"1998"	"25-29 years"	"25-29"	9696
	"Arkansas"	"05"	"1998"	"1998"	"30-34 years"	"30-34"	5347
	"Arkansas"	"05"	"1998"	"1998"	"35-39 years"	"35-39"	2290
	"Arkansas"	"05"	"1998"	"1998"	"40-44 years"	"40-44"	409
	"Arkansas"	"05"	"1999"	"1999"	"Under 15 years"	"15"	109
	"Arkansas"	"05"	"1999"	"1999"	"15-19 years"	"15-19"	6434
	"Arkansas"	"05"	"1999"	"1999"	"20-24 years"	"20-24"	12301
	"Arkansas"	"05"	"1999"	"1999"	"25-29 years"	"25-29"	9702
	"Arkansas"	"05"	"1999"	"1999"	"30-34 years"	"30-34"	5451
	"Arkansas"	"05"	"1999"	"1999"	"35-39 years"	"35-39"	2342
	"Arkansas"	"05"	"1999"	"1999"	"40-44 years"	"40-44"	371
	"Arkansas"	"05"	"1999"	"1999"	"45-49 years"	"45-49"	17
	"Arkansas"	"05"	"2000"	"2000"	"Under 15 years"	"15"	130
	"Arkansas"	"05"	"2000"	"2000"	"15-19 years"	"15-19"	6400
	"Arkansas"	"05"	"2000"	"2000"	"20-24 years"	"20-24"	12852
	"Arkansas"	"05"	"2000"	"2000"	"25-29 years"	"25-29"	10049
	"Arkansas"	"05"	"2000"	"2000"	"30-34 years"	"30-34"	5673
	"Arkansas"	"05"	"2000"	"2000"	"35-39 years"	"35-39"	2206
	"Arkansas"	"05"	"2000"	"2000"	"40-44 years"	"40-44"	450
	"Arkansas"	"05"	"2000"	"2000"	"45-49 years"	"45-49"	23
	"Arkansas"	"05"	"2001"	"2001"	"Under 15 years"	"15"	109
	"Arkansas"	"05"	"2001"	"2001"	"15-19 years"	"15-19"	5941
	"Arkansas"	"05"	"2001"	"2001"	"20-24 years"	"20-24"	12872
	"Arkansas"	"05"	"2001"	"2001"	"25-29 years"	"25-29"	9537
	"Arkansas"	"05"	"2001"	"2001"	"30-34 years"	"30-34"	5871
	"Arkansas"	"05"	"2001"	"2001"	"35-39 years"	"35-39"	2235
	"Arkansas"	"05"	"2001"	"2001"	"40-44 years"	"40-44"	420
	"Arkansas"	"05"	"2001"	"2001"	"45-49 years"	"45-49"	24
	"Arkansas"	"05"	"2002"	"2002"	"Under 15 years"	"15"	107
	"Arkansas"	"05"	"2002"	"2002"	"15-19 years"	"15-19"	5681
	"Arkansas"	"05"	"2002"	"2002"	"20-24 years"	"20-24"	13055
	"Arkansas"	"05"	"2002"	"2002"	"25-29 years"	"25-29"	9717
	"Arkansas"	"05"	"2002"	"2002"	"30-34 years"	"30-34"	6133
	"Arkansas"	"05"	"2002"	"2002"	"35-39 years"	"35-39"	2261
	"Arkansas"	"05"	"2002"	"2002"	"40-44 years"	"40-44"	451
	"Arkansas"	"05"	"2002"	"2002"	"45-49 years"	"45-49"	31
	"California"	"06"	"1995"	"1995"	"Under 15 years"	"15"	1645
	"California"	"06"	"1995"	"1995"	"15-19 years"	"15-19"	66764
	"California"	"06"	"1995"	"1995"	"20-24 years"	"20-24"	132858
	"California"	"06"	"1995"	"1995"	"25-29 years"	"25-29"	148812
	"California"	"06"	"1995"	"1995"	"30-34 years"	"30-34"	128046
	"California"	"06"	"1995"	"1995"	"35-39 years"	"35-39"	60671
	"California"	"06"	"1995"	"1995"	"40-44 years"	"40-44"	12607
	"California"	"06"	"1995"	"1995"	"45-49 years"	"45-49"	642
	"California"	"06"	"1996"	"1996"	"Under 15 years"	"15"	1490
	"California"	"06"	"1996"	"1996"	"15-19 years"	"15-19"	63222
	"California"	"06"	"1996"	"1996"	"20-24 years"	"20-24"	127676
	"California"	"06"	"1996"	"1996"	"25-29 years"	"25-29"	146026
	"California"	"06"	"1996"	"1996"	"30-34 years"	"30-34"	125236
	"California"	"06"	"1996"	"1996"	"35-39 years"	"35-39"	61948
	"California"	"06"	"1996"	"1996"	"40-44 years"	"40-44"	13184
	"California"	"06"	"1996"	"1996"	"45-49 years"	"45-49"	651
	"California"	"06"	"1997"	"1997"	"Under 15 years"	"15"	1257
	"California"	"06"	"1997"	"1997"	"15-19 years"	"15-19"	59955
	"California"	"06"	"1997"	"1997"	"20-24 years"	"20-24"	123133
	"California"	"06"	"1997"	"1997"	"25-29 years"	"25-29"	141368
	"California"	"06"	"1997"	"1997"	"30-34 years"	"30-34"	122091
	"California"	"06"	"1997"	"1997"	"35-39 years"	"35-39"	62747
	"California"	"06"	"1997"	"1997"	"40-44 years"	"40-44"	13523
	"California"	"06"	"1997"	"1997"	"45-49 years"	"45-49"	721
	"California"	"06"	"1997"	"1997"	"50 years and over"	"50+"	45
	"California"	"06"	"1998"	"1998"	"Under 15 years"	"15"	1068
	"California"	"06"	"1998"	"1998"	"15-19 years"	"15-19"	58170
	"California"	"06"	"1998"	"1998"	"20-24 years"	"20-24"	121409
	"California"	"06"	"1998"	"1998"	"25-29 years"	"25-29"	140492
	"California"	"06"	"1998"	"1998"	"30-34 years"	"30-34"	121422
	"California"	"06"	"1998"	"1998"	"35-39 years"	"35-39"	64273
	"California"	"06"	"1998"	"1998"	"40-44 years"	"40-44"	14050
	"California"	"06"	"1998"	"1998"	"45-49 years"	"45-49"	743
	"California"	"06"	"1998"	"1998"	"50 years and over"	"50+"	34
	"California"	"06"	"1999"	"1999"	"Under 15 years"	"15"	1038
	"California"	"06"	"1999"	"1999"	"15-19 years"	"15-19"	56635
	"California"	"06"	"1999"	"1999"	"20-24 years"	"20-24"	120405
	"California"	"06"	"1999"	"1999"	"25-29 years"	"25-29"	137772
	"California"	"06"	"1999"	"1999"	"30-34 years"	"30-34"	121879
	"California"	"06"	"1999"	"1999"	"35-39 years"	"35-39"	65597
	"California"	"06"	"1999"	"1999"	"40-44 years"	"40-44"	14281
	"California"	"06"	"1999"	"1999"	"45-49 years"	"45-49"	843
	"California"	"06"	"1999"	"1999"	"50 years and over"	"50+"	58
	"California"	"06"	"2000"	"2000"	"Under 15 years"	"15"	896
	"California"	"06"	"2000"	"2000"	"15-19 years"	"15-19"	55463
	"California"	"06"	"2000"	"2000"	"20-24 years"	"20-24"	122783
	"California"	"06"	"2000"	"2000"	"25-29 years"	"25-29"	139812
	"California"	"06"	"2000"	"2000"	"30-34 years"	"30-34"	127640
	"California"	"06"	"2000"	"2000"	"35-39 years"	"35-39"	68758
	"California"	"06"	"2000"	"2000"	"40-44 years"	"40-44"	15655
	"California"	"06"	"2000"	"2000"	"45-49 years"	"45-49"	875
	"California"	"06"	"2000"	"2000"	"50 years and over"	"50+"	77
	"California"	"06"	"2001"	"2001"	"Under 15 years"	"15"	809
	"California"	"06"	"2001"	"2001"	"15-19 years"	"15-19"	53007
	"California"	"06"	"2001"	"2001"	"20-24 years"	"20-24"	123327
	"California"	"06"	"2001"	"2001"	"25-29 years"	"25-29"	136551
	"California"	"06"	"2001"	"2001"	"30-34 years"	"30-34"	128049
	"California"	"06"	"2001"	"2001"	"35-39 years"	"35-39"	68897
	"California"	"06"	"2001"	"2001"	"40-44 years"	"40-44"	16055
	"California"	"06"	"2001"	"2001"	"45-49 years"	"45-49"	989
	"California"	"06"	"2001"	"2001"	"50 years and over"	"50+"	75
	"California"	"06"	"2002"	"2002"	"Under 15 years"	"15"	743
	"California"	"06"	"2002"	"2002"	"15-19 years"	"15-19"	50222
	"California"	"06"	"2002"	"2002"	"20-24 years"	"20-24"	123094
	"California"	"06"	"2002"	"2002"	"25-29 years"	"25-29"	137279
	"California"	"06"	"2002"	"2002"	"30-34 years"	"30-34"	130404
	"California"	"06"	"2002"	"2002"	"35-39 years"	"35-39"	69894
	"California"	"06"	"2002"	"2002"	"40-44 years"	"40-44"	16560
	"California"	"06"	"2002"	"2002"	"45-49 years"	"45-49"	1082
	"California"	"06"	"2002"	"2002"	"50 years and over"	"50+"	79
	"Colorado"	"08"	"1995"	"1995"	"Under 15 years"	"15"	134
	"Colorado"	"08"	"1995"	"1995"	"15-19 years"	"15-19"	6464
	"Colorado"	"08"	"1995"	"1995"	"20-24 years"	"20-24"	12943
	"Colorado"	"08"	"1995"	"1995"	"25-29 years"	"25-29"	14295
	"Colorado"	"08"	"1995"	"1995"	"30-34 years"	"30-34"	13190
	"Colorado"	"08"	"1995"	"1995"	"35-39 years"	"35-39"	6192
	"Colorado"	"08"	"1995"	"1995"	"40-44 years"	"40-44"	1074
	"Colorado"	"08"	"1995"	"1995"	"45-49 years"	"45-49"	40
	"Colorado"	"08"	"1996"	"1996"	"Under 15 years"	"15"	120
	"Colorado"	"08"	"1996"	"1996"	"15-19 years"	"15-19"	6541
	"Colorado"	"08"	"1996"	"1996"	"20-24 years"	"20-24"	13011
	"Colorado"	"08"	"1996"	"1996"	"25-29 years"	"25-29"	14983
	"Colorado"	"08"	"1996"	"1996"	"30-34 years"	"30-34"	13267
	"Colorado"	"08"	"1996"	"1996"	"35-39 years"	"35-39"	6611
	"Colorado"	"08"	"1996"	"1996"	"40-44 years"	"40-44"	1207
	"Colorado"	"08"	"1996"	"1996"	"45-49 years"	"45-49"	67
	"Colorado"	"08"	"1997"	"1997"	"Under 15 years"	"15"	103
	"Colorado"	"08"	"1997"	"1997"	"15-19 years"	"15-19"	6645
	"Colorado"	"08"	"1997"	"1997"	"20-24 years"	"20-24"	13240
	"Colorado"	"08"	"1997"	"1997"	"25-29 years"	"25-29"	15289
	"Colorado"	"08"	"1997"	"1997"	"30-34 years"	"30-34"	13171
	"Colorado"	"08"	"1997"	"1997"	"35-39 years"	"35-39"	6695
	"Colorado"	"08"	"1997"	"1997"	"40-44 years"	"40-44"	1303
	"Colorado"	"08"	"1997"	"1997"	"45-49 years"	"45-49"	85
	"Colorado"	"08"	"1998"	"1998"	"Under 15 years"	"15"	122
	"Colorado"	"08"	"1998"	"1998"	"15-19 years"	"15-19"	7060
	"Colorado"	"08"	"1998"	"1998"	"20-24 years"	"20-24"	13975
	"Colorado"	"08"	"1998"	"1998"	"25-29 years"	"25-29"	16240
	"Colorado"	"08"	"1998"	"1998"	"30-34 years"	"30-34"	13659
	"Colorado"	"08"	"1998"	"1998"	"35-39 years"	"35-39"	7036
	"Colorado"	"08"	"1998"	"1998"	"40-44 years"	"40-44"	1422
	"Colorado"	"08"	"1998"	"1998"	"45-49 years"	"45-49"	59
	"Colorado"	"08"	"1999"	"1999"	"Under 15 years"	"15"	106
	"Colorado"	"08"	"1999"	"1999"	"15-19 years"	"15-19"	7251
	"Colorado"	"08"	"1999"	"1999"	"20-24 years"	"20-24"	15096
	"Colorado"	"08"	"1999"	"1999"	"25-29 years"	"25-29"	16851
	"Colorado"	"08"	"1999"	"1999"	"30-34 years"	"30-34"	14130
	"Colorado"	"08"	"1999"	"1999"	"35-39 years"	"35-39"	7169
	"Colorado"	"08"	"1999"	"1999"	"40-44 years"	"40-44"	1468
	"Colorado"	"08"	"1999"	"1999"	"45-49 years"	"45-49"	93
	"Colorado"	"08"	"2000"	"2000"	"Under 15 years"	"15"	117
	"Colorado"	"08"	"2000"	"2000"	"15-19 years"	"15-19"	7550
	"Colorado"	"08"	"2000"	"2000"	"20-24 years"	"20-24"	15878
